address,age,area,bedroom,direction,elevator,floor,furnished,lat,link,livingroom,lon,title,totalFloor,totalPrice,unitPrice
滨河路87号院,1997,75,2, 南 北 , 无电梯,地下室, 简装 ,39.945448,http://bj.lianjia.com/xiaoqu/1111027375854/,1,116.115676,滨河路87号院，         商品房,6,150,20000
福城上上城六期,2013,69,2, 东南 , 无电梯,低楼层, 其他 ,39.9692,http://bj.lianjia.com/xiaoqu/2011048071528/,1,116.846504,福成六期东南两居，精装修，无遮挡采光好，中间楼层,28,185,26642
福城上上城五期,2009,79,2, 南 北 , 无电梯,高楼层, 其他 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,福城五期 南北二居 毛坯新房  随时可看,18,190,23867
车站北里,1989,42,1, 南 , 无电梯,高楼层, 简装 ,39.731799,http://bj.lianjia.com/xiaoqu/1111027376693/,1,116.342093,满五年无原值，南向一居室 配套齐全，交通便利,6,195,45711
天洋城,2010,62,2, 东北 , 无电梯,中楼层, 精装 ,39.970903,http://bj.lianjia.com/xiaoqu/2011047640650/,1,116.828287,天洋城 东北向小两居 精装修  有钥匙 业主诚心出售,34,175,28050
福城上上城五期,2009,83,2, 南 北 , 无电梯,中楼层, 简装 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,福成五期南北通透小两居 户型好 业主诚心出售,18,175,20904
福城上上城五期,2009,70,2, 南 , 无电梯,低楼层, 其他 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,福城五期 两居室 南北通透 精装修 业主诚心出售 ,18,175,25000
雷捷时代广场,2012,84,3, 南 , 无电梯,低楼层, 精装 ,39.953757,http://bj.lianjia.com/xiaoqu/2011047806567/,1,116.876174,雷捷时代广场南向三居室精装修业主诚心出售随时配合签约,27,169,20079
福城上上城五期,2009,80,2, 南 北 , 无电梯,高楼层, 简装 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,福城五期 南北通透 两居 中等装修 诚意出售,18,193,24125
美林湾,2009,60,3, 南 北 , 无电梯,高楼层, 精装 ,39.980612,http://bj.lianjia.com/xiaoqu/2011047710270/,2,116.77441,美林湾复古装修，实木家具，三室两厅南北通透诚心出售,6,196,32264
福城上上城六期,2013,73,2, 南 , 无电梯,高楼层, 精装 ,39.9692,http://bj.lianjia.com/xiaoqu/2011048071528/,1,116.846504,福成六期，标准南向两居精装修，高楼层，采光好。,28,198,26801
首开智慧社,2011,51,1, 东 , 有电梯,低楼层, 精装 ,40.078436,http://bj.lianjia.com/xiaoqu/1111027379397/,0,116.343992,首开智慧社+精装修+不限购+可注册+业主诚心出售,19,175,34314
福泽御园,2007,78,1, 南 , 无电梯,低楼层, 毛坯 ,39.955437,http://bj.lianjia.com/xiaoqu/2011047640756/,1,116.836261,四期南向大一居 可改两居  毛坯房 随时看房,28,180,22893
首尔甜城一期,2014,40,1, 西 , 无电梯,高楼层, 毛坯 ,40.008784,http://bj.lianjia.com/xiaoqu/2011047926381/,0,116.791581,西向开间 高楼层视野开阔 随时看房,33,123,30015
东亚上北中心,2009,41,1, 南 , 有电梯,高楼层, 精装 ,40.087773,http://bj.lianjia.com/xiaoqu/1111027374040/,0,116.347998,东亚上北  精装南向开间  南向采光视野好 带电梯,18,160,38883
明天第一城7号院,2007,43,1, 北 , 有电梯,低楼层, 精装 ,40.053455,http://bj.lianjia.com/xiaoqu/1111027378407/,0,116.414419,户型方正 税费少 诚心出售 可随时签约,21,155,35502
东亚上北中心,2009,56,1, 北 , 有电梯,低楼层, 简装 ,40.087773,http://bj.lianjia.com/xiaoqu/1111027374040/,1,116.347998,正规一室一厅 客厅厨房卧室都是大窗户 前面是草坪,21,185,32796
国融国际,2005,33,1, 北 , 有电梯,高楼层, 精装 ,39.807662,http://bj.lianjia.com/xiaoqu/1111027374693/,1,116.508181,免税房 loft 民水民电带燃气 视野好,23,160,47962
福城上上城三季,2010,60,2, 南 , 无电梯,中楼层, 精装 ,39.987002,http://bj.lianjia.com/xiaoqu/2011047640757/,1,116.782754,燕顺路上上城三季 南向开间改小两居  自住装修,23,170,28334
雷捷时代广场,2012,82,2, 北 , 无电梯,高楼层, 其他 ,39.953757,http://bj.lianjia.com/xiaoqu/2011047806567/,1,116.876174,雷捷时代广场 两居 北 精装修 采光好 无遮挡,34,181,22074
旭辉奥都,2008,49,1, 东 , 有电梯,低楼层, 精装 ,40.0514,http://bj.lianjia.com/xiaoqu/1111027380785/,0,116.42376,旭辉奥都精装开间  民水民电 诚心出售,10,195,39386
福城上上城六期,2013,73,2, 南 西 , 无电梯,中楼层, 精装 ,39.9692,http://bj.lianjia.com/xiaoqu/2011048071528/,1,116.846504,福成六期西南两居室 装修15万 业主全送 拎包入住,28,195,26662
首开智慧社,2011,51,1, 东 , 有电梯,中楼层, 精装 ,40.078436,http://bj.lianjia.com/xiaoqu/1111027379397/,0,116.343992,首开智慧社《东向开间+采光非常好》,19,180,35219
福城上上城五期,2009,83,2, 南 北 , 无电梯,低楼层, 精装 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,福城五期南北通透两居室，婚房装修，满两年，随时看房,18,189,22576
天洋城,2009,67,2, 东 西 , 无电梯,低楼层, 精装 ,39.970903,http://bj.lianjia.com/xiaoqu/2011047640650/,1,116.828287,天洋城东西通透大两居 精装修 看房方便 急售,33,187,27505
福城上上城五期,2009,80,2, 南 北 , 无电梯,低楼层, 简装 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,福成五期两居室，业主靠谱出售。南向。居家好选！,18,160,19896
海洋局北院,2000,76,2, 西南 , 无电梯,高楼层, 简装 ,39.958275,http://bj.lianjia.com/xiaoqu/2011099733108/,1,116.814797,海洋局北院   全明户型  西南向正规两居 有钥匙,6,178,23336
北京像素南区,2012,43,1, 南 , 有电梯,高楼层, 精装 ,39.931519,http://bj.lianjia.com/xiaoqu/1111045342092/,0,116.622063,北京像素开间，民水民电有燃气，集中供暖,23,160,37210
东贸国际,2011,50,1, 东 , 无电梯,高楼层, 其他 ,39.952636,http://bj.lianjia.com/xiaoqu/2011047640656/,1,116.796374,东贸国际 东向精装一居室 业主诚意出售,27,148,29494
天洋城,2012,57,1, 北 , 无电梯,中楼层, 简装 ,39.970903,http://bj.lianjia.com/xiaoqu/2011047640650/,1,116.828287,天洋城 北向一居 毛坯房  满两年 随时看房,33,155,27193
福泽颐园,2007,52,1, 东北 , 无电梯,低楼层, 简装 ,39.954586,http://bj.lianjia.com/xiaoqu/2011047640755/,1,116.841067,福成三期 北向开间 看房有钥匙 业主诚售,32,118,22319
瑞雪春堂,2010,50,1, 南 , 有电梯,低楼层, 精装 ,39.726495,http://bj.lianjia.com/xiaoqu/1111027379063/,0,116.154608,瑞雪春堂 业主诚心出售 精装修 大开间,15,198,39364
福泽御园,2007,75,1, 西 , 无电梯,中楼层, 简装 ,39.955437,http://bj.lianjia.com/xiaoqu/2011047640756/,1,116.836261,福成四期过度一居室 满二 临近公交车站 靠谱签约,11,190,25037
福城上上城二季,2009,71,2, 南 , 无电梯,低楼层, 精装 ,39.963419,http://bj.lianjia.com/xiaoqu/2011047732958/,1,116.798268,燕顺路上上城二季 南向小两居 精装修地暖 看房随时 ,18,198,27589
美林湾,2009,63,1, 南 北 , 无电梯,高楼层, 其他 ,39.980612,http://bj.lianjia.com/xiaoqu/2011047710270/,1,116.77441,美林湾 顶层4.9米挑高 送露台25平 居家实用,6,195,30953
西环里,1979,55,2, 南 北 , 无电梯,低楼层, 毛坯 ,40.235529,http://bj.lianjia.com/xiaoqu/1111027380837/,1,116.232365,满五唯一，南北通透户型好，采光好，阳台有加固。,5,195,35423
新桥大街甲43号楼,1990,45,2, 东 北 , 无电梯,低楼层, 简装 ,39.945377,http://bj.lianjia.com/xiaoqu/1111053034589/,0,116.107182,新桥大街甲43 两室 东北朝向诚心出售,6,189,41704
福泽颐园,2007,71,2, 东 南 , 无电梯,中楼层, 精装 ,39.954586,http://bj.lianjia.com/xiaoqu/2011047640755/,1,116.841067,福成三期   两居室   业主诚心出售,32,172,23956
忆江南,2008,70,1, 南 , 无电梯,中楼层, 其他 ,39.958434,http://bj.lianjia.com/xiaoqu/2011047710291/,1,116.846026,忆江南 全南向一居室自住精装修靠谱出售随时签约,11,187,26715
福城上上城五期,2009,53,1, 南 , 无电梯,低楼层, 精装 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,0,116.85037,福城五期 精装全南一居 落地阳台 采光俱佳 随时可看,18,145,26902
星河皓月,2009,56,1, 东南 , 无电梯,低楼层, 简装 ,39.987782,http://bj.lianjia.com/xiaoqu/2011047640765/,0,116.780446,星河皓月 南向开间 采光好 业主诚售 看房有钥匙,30,168,29968
星河皓月,2009,61,1, 北 , 无电梯,中楼层, 其他 ,39.987782,http://bj.lianjia.com/xiaoqu/2011047640765/,1,116.780446,星河皓月正规一居室，户型方正，业主急售,22,175,28493
星河皓月,2009,57,1, 南 , 无电梯,中楼层, 其他 ,39.987782,http://bj.lianjia.com/xiaoqu/2011047640765/,0,116.780446,星河皓月南向一居，可改两居，中高楼层,30,165,28948
福城上上城三季,2010,73,2, 西 , 无电梯,中楼层, 精装 ,39.987002,http://bj.lianjia.com/xiaoqu/2011047640757/,1,116.782754,燕郊燕顺路 福城上上城三季 精装两居 送家具家电,17,174,23758
燕灵小区,2001,68,2, 南 北 , 无电梯,中楼层, 其他 ,39.951423,http://bj.lianjia.com/xiaoqu/2011047736786/,1,116.804361,燕灵小区 小两居 南北通透,6,180,26259
星河皓月,2010,61,1, 北 , 无电梯,低楼层, 精装 ,39.987782,http://bj.lianjia.com/xiaoqu/2011047640765/,1,116.780446,星河皓月 正规一居室 单价低总价低 诚心出售 ,22,171,27842
黄金花园,NA,85,2, 南 , 无电梯,中楼层, 其他 ,39.951524,http://bj.lianjia.com/xiaoqu/2011047921740/,1,116.837399,火车站附近 南向 两居 采光好 无遮挡,34,195,22942
福城上上城五期,2009,55,1, 南 , 无电梯,高楼层, 精装 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,0,116.85037,福成五期 南向开间,28,149,26852
东方夏威夷南岸一期,2010,53,1, 南 , 无电梯,低楼层, 简装 ,39.965085,http://bj.lianjia.com/xiaoqu/2011047640760/,0,116.795924,正规一居室  可投资可自住,24,170,32076
福城上上城三季,2010,80,2, 南 北 , 无电梯,低楼层, 精装 ,39.987002,http://bj.lianjia.com/xiaoqu/2011047640757/,1,116.782754,燕顺路上上城三季 南北通透两居室 看房钥匙 靠谱签约,23,199,24727
福城上上城六期,2013,69,2, 东南 , 无电梯,高楼层, 毛坯 ,39.9692,http://bj.lianjia.com/xiaoqu/2011048071528/,1,116.846504,福成六期东南向小两居，格局方正全明户型！,28,185,26589
美林湾,2009,53,1, 西 , 无电梯,中楼层, 简装 ,39.980612,http://bj.lianjia.com/xiaoqu/2011047710270/,0,116.77441,美林湾西向一居室，业主诚售,29,148,27920
广宁村,1989,55,2, 南 北 , 无电梯,高楼层, 精装 ,39.936615,http://bj.lianjia.com/xiaoqu/1111027374674/,1,116.150668,广宁村！南北通透坡下精装修采光好！,6,190,34546
福城上上城三季,2010,61,1, 南 , 无电梯,中楼层, 精装 ,39.987002,http://bj.lianjia.com/xiaoqu/2011047640757/,0,116.782754,燕顺路  三季   精装修 随时签约 ,26,170,27643
东贸国际,2010,40,1, 北 , 无电梯,高楼层, 精装 ,39.952636,http://bj.lianjia.com/xiaoqu/2011047640656/,0,116.796374,东贸国际 1室0厅 130万,32,130,31801
福城上上城三季,2010,51,1, 西北 , 无电梯,高楼层, 其他 ,39.987002,http://bj.lianjia.com/xiaoqu/2011047640757/,1,116.782754,福城上上城三季西北向一居，免税精装看房随时,15,139,27170
星河皓月,2009,114,2, 南 北 , 无电梯,地下室, 简装 ,39.987782,http://bj.lianjia.com/xiaoqu/2011047640765/,1,116.780446,星河皓月南北通透三居,18,130,11404
美林湾,2009,56,1, 南 , 无电梯,中楼层, 其他 ,39.980612,http://bj.lianjia.com/xiaoqu/2011047710270/,0,116.77441,燕顺路，美林湾南向开间，中间楼层，无遮挡，看房方便,29,175,31250
新锐时代,NA,82,2, 东北 , 无电梯,中楼层, 简装 ,39.951838,http://bj.lianjia.com/xiaoqu/2011047774198/,1,116.850488,新锐时代东北向两居室简单装修有钥匙看房方便,31,185,22490
福城上上城五期,2009,84,2, 南 北 , 无电梯,低楼层, 简装 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,五期南北两居室,18,190,22430
福城上上城六期,2013,81,2, 南 , 无电梯,中楼层, 其他 ,39.9692,http://bj.lianjia.com/xiaoqu/2011048071528/,1,116.846504,福城六期 精装西南二居 送全部家电家具 采光俱佳 ,28,195,24075
美林湾,2009,53,1, 西 , 有电梯,中楼层, 简装 ,39.980612,http://bj.lianjia.com/xiaoqu/2011047710270/,1,116.77441,美林湾 西向开间 观景房 精装 有钥匙 ,29,158,29711
潮白人家,2012,63,1, 北 , 无电梯,低楼层, 精装 ,39.954145,http://bj.lianjia.com/xiaoqu/2011047640758/,1,116.797257,潮白人家北向一居中间楼层,26,177,27914
福城上上城五期,2009,77,2, 南 , 无电梯,中楼层, 毛坯 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,福成五期南向毛坯两居室，满两年，业主诚意出售,28,186,23856
福城上上城五期,2009,81,2, 南 北 , 无电梯,高楼层, 简装 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,南北通透两居  户型方正  中高楼层  采光好,18,178,21841
星河185,2012,45,2, 南 北 , 无电梯,低楼层, 精装 ,40.001976,http://bj.lianjia.com/xiaoqu/2011047728825/,1,116.786491,星河185 Loft 南北通透两居室 中间楼层,12,195,42952
北京像素南区,2012,46,1, 东北 , 有电梯,中楼层, 精装 ,39.931519,http://bj.lianjia.com/xiaoqu/1111045342092/,0,116.622063,北京像素 3.2米挑高开间 民水电 集中供暖,23,165,35777
星河皓月,2009,67,1, 东 西 , 无电梯,中楼层, 精装 ,39.987782,http://bj.lianjia.com/xiaoqu/2011047640765/,1,116.780446,星河皓月 板楼正规大一居室 精装 采光好,6,191,28263
雷捷时代广场,2012,76,2, 北 , 无电梯,高楼层, 简装 ,39.953757,http://bj.lianjia.com/xiaoqu/2011047806567/,1,116.876174,雷捷时代广场 2室1厅 171万,27,171,22500
星河皓月,2009,61,1, 北 , 无电梯,高楼层, 其他 ,39.987782,http://bj.lianjia.com/xiaoqu/2011047640765/,1,116.780446,星河皓月 1室1厅 183万,22,183,29795
福城上上城五期,2009,75,2, 南 , 无电梯,中楼层, 简装 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,福城五期南向两居室  精装修  采光好  随时看房,18,190,25119
福城上上城三季,2010,60,2, 南 , 无电梯,中楼层, 其他 ,39.987002,http://bj.lianjia.com/xiaoqu/2011047640757/,1,116.782754,福城上上城三季 南向两居 随时看房,28,170,28334
福城上上城六期,2013,68,2, 西南 , 无电梯,低楼层, 其他 ,39.9692,http://bj.lianjia.com/xiaoqu/2011048071528/,1,116.846504,精装西南两居室 户型方正 中高楼层 业主诚意出售,28,175,25444
北京像素南区,2012,50,1, 南 , 有电梯,高楼层, 精装 ,39.931519,http://bj.lianjia.com/xiaoqu/1111045342092/,0,116.622063,北京像素 南向自住开间 靠近地铁,23,172,33959
东贸国际,2009,44,1, 西 , 无电梯,低楼层, 精装 ,39.952636,http://bj.lianjia.com/xiaoqu/2011047640656/,0,116.796374,东贸国际 西向大开间 ,27,127,28572
东贸国际,2009,63,1, 西南 , 无电梯,高楼层, 精装 ,39.952636,http://bj.lianjia.com/xiaoqu/2011047640656/,1,116.796374,满两年省增值税 精装修拎包入住 随时看房 随时签约,27,195,30767
富强东里,1978,44,2, 南 , 无电梯,高楼层, 其他 ,39.745849,http://bj.lianjia.com/xiaoqu/1111027374314/,0,116.350909,富强东里 小两居 满五年 近地铁,6,192,43011
中兴和园,2011,67,1, 南 , 无电梯,中楼层, 简装 ,39.994908,http://bj.lianjia.com/xiaoqu/2011047734907/,0,116.78476,燕顺路 中兴和园 南向开间 简单装修,18,187,27561
东亚三环,2010,35,1, 东 , 有电梯,低楼层, 其他 ,39.842419,http://bj.lianjia.com/xiaoqu/1111027374041/,0,116.37785,地铁房 不限购 民水民电 随时可看,9,130,36538
北京像素南区,2012,43,1, 南 , 有电梯,低楼层, 精装 ,39.931519,http://bj.lianjia.com/xiaoqu/1111045342092/,0,116.622063,中层       开间          靠谱出售,23,161,37434
福城上上城五期,2009,49,1, 南 , 无电梯,中楼层, 精装 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,0,116.85037,福成五期南向开间改一居室，满两年，看房有钥匙,18,132,26792
星河皓月,2010,60,1, 北 , 无电梯,低楼层, 其他 ,39.987782,http://bj.lianjia.com/xiaoqu/2011047640765/,1,116.780446,皓月精装 正规一居  楼层好 采光好  业主诚意出售,28,175,28722
美林湾,2009,51,1, 西 , 无电梯,中楼层, 简装 ,39.980612,http://bj.lianjia.com/xiaoqu/2011047710270/,0,116.77441,美林湾开间，户型方正，布局合理，视野开阔，诚心出售,29,152,29584
福城上上城五期,2009,65,1, 南 , 无电梯,中楼层, 毛坯 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,福城五期 纯朝南正规一室一厅 随时看房诚心出售,28,160,24443
福城上上城五期,2009,75,2, 南 , 无电梯,低楼层, 其他 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,福城五期 精装双南二居 双阳台 采光俱佳 随时可看,18,180,23924
清秀园北区,2003,34,1, 北 , 有电梯,高楼层, 精装 ,40.225155,http://bj.lianjia.com/xiaoqu/1111027378942/,0,116.250886,精装修+楼龄新+低总价+电梯房,7,135,39567
茶贸国际中心,2006,34,1, 南 , 有电梯,低楼层, 精装 ,39.892188,http://bj.lianjia.com/xiaoqu/1111027376489/,0,116.333603,西城区 马连道 茶马国际 朝南 开间,12,110,32145
奥北南区,2008,34,1, 东 , 无电梯,低楼层, 简装 ,40.060802,http://bj.lianjia.com/xiaoqu/1111027375566/,0,116.41782,业主诚心出售，总价低，不限购。,3,98,28824
北京像素南区,2012,53,1, 北 , 有电梯,低楼层, 精装 ,39.931519,http://bj.lianjia.com/xiaoqu/1111045342092/,0,116.622063,常营北京像素 小户型 不限购 民水民电,23,180,33514
福城上上城六期,2013,73,2, 西南 , 无电梯,中楼层, 其他 ,39.9692,http://bj.lianjia.com/xiaoqu/2011048071528/,1,116.846504,福成六期   西南向   两居,28,193,26248
福城上上城三季,2010,60,2, 西 , 无电梯,中楼层, 精装 ,39.987002,http://bj.lianjia.com/xiaoqu/2011047640757/,1,116.782754,上上城三季 西向一居自改两居 简单装修,26,145,24167
美林湾,2009,63,1, 东北 , 无电梯,低楼层, 其他 ,39.980612,http://bj.lianjia.com/xiaoqu/2011047710270/,1,116.77441,美林湾、东北正规一居室、有钥匙、不满两年,34,185,29366
潮白人家,2012,63,2, 北 , 无电梯,低楼层, 其他 ,39.954145,http://bj.lianjia.com/xiaoqu/2011047640758/,1,116.797257,潮白人家，自改小两居，业主诚意出售,26,180,28513
福城上上城五期,2009,50,1, 南 , 无电梯,中楼层, 其他 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,0,116.85037,五期南向一居室 南向中高楼层 业主靠谱出售,18,132,26400
永兴里,1990,56,2, 南 北 , 无电梯,高楼层, 其他 ,39.838279,http://bj.lianjia.com/xiaoqu/1111027382157/,1,116.20716,店长推荐 南北通透  业主诚心卖,6,170,30036
福城上上城三季,2010,57,1, 南 , 无电梯,低楼层, 精装 ,39.987002,http://bj.lianjia.com/xiaoqu/2011047640757/,1,116.782754,上上城三季 南向大开间 毛坯自己可以随意装修,18,155,26971
辉煌国际,2007,63,1, 北 , 有电梯,中楼层, 简装 ,40.059182,http://bj.lianjia.com/xiaoqu/1111027375017/,1,116.308648,辉煌国际 商住两用 不限购 带燃气 北向,23,190,29795
星河皓月,2010,61,1, 北 , 无电梯,低楼层, 精装 ,39.987782,http://bj.lianjia.com/xiaoqu/2011047640765/,1,116.780446,星河皓月  北向一居  靠谱出售  拎包入住,22,170,27670
福城上上城三季,2010,51,1, 东北 , 无电梯,中楼层, 简装 ,39.987002,http://bj.lianjia.com/xiaoqu/2011047640757/,0,116.782754,三季小错层  采光充足 非常诚心出售,15,145,28343
福城上上城六期,2013,75,2, 南 , 无电梯,高楼层, 精装 ,39.9692,http://bj.lianjia.com/xiaoqu/2011048071528/,1,116.846504,福成上上城六期  南向两居  精装修  看房方便 ,28,188,25044
美林湾,2009,62,1, 西北 , 无电梯,低楼层, 其他 ,39.980612,http://bj.lianjia.com/xiaoqu/2011047710270/,1,116.77441,美林湾 正规一居 满两年免增值税,24,175,28027
福城上上城六期,2013,69,2, 东 南 , 无电梯,低楼层, 其他 ,39.9692,http://bj.lianjia.com/xiaoqu/2011048071528/,1,116.846504,福成六期  精装修  南向两居室   看房方便,28,175,25363
福城上上城五期,2009,83,2, 东南 , 无电梯,低楼层, 其他 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,福成上上城五期   南向两居室  精装修  看房方便,18,190,22785
东贸国际,2010,63,1, 东 南 , 无电梯,高楼层, 精装 ,39.952636,http://bj.lianjia.com/xiaoqu/2011047640656/,1,116.796374,东贸国际 东南向正规一居室 简单装修 ,27,198,31241
天洋城,2011,68,2, 东北 , 无电梯,高楼层, 其他 ,39.970903,http://bj.lianjia.com/xiaoqu/2011047640650/,1,116.828287,天洋城  正规东北向2居  楼层好 靠谱在售,33,190,27888
新坐标,2008,80,2, 西 , 无电梯,低楼层, 其他 ,39.954289,http://bj.lianjia.com/xiaoqu/2011047815323/,2,116.868351,新坐标西向正规两居室精装修靠谱出售,33,152,18836
国融国际,2005,46,1, 东 , 有电梯,中楼层, 精装 ,39.807662,http://bj.lianjia.com/xiaoqu/1111027374693/,1,116.508181,带电梯   民水民电   带燃气  ,23,135,28748
中兴和园,2011,65,1, 南 , 无电梯,高楼层, 毛坯 ,39.994908,http://bj.lianjia.com/xiaoqu/2011047734907/,0,116.78476,中兴和园 南向开间可以自改正规一居 诚意出售,18,180,27642
福城上上城三季,2010,60,1, 南 , 无电梯,高楼层, 毛坯 ,39.987002,http://bj.lianjia.com/xiaoqu/2011047640757/,0,116.782754,上上城三季南向开间 毛坯,24,165,27359
东亚首航国际,2014,58,1, 南 , 有电梯,中楼层, 精装 ,40.134877,http://bj.lianjia.com/xiaoqu/1111047665744/,1,116.605239,精装修 中低楼层 南向 婚房 适合居住 ,13,145,25000
首开智慧社,2011,51,1, 西 , 有电梯,低楼层, 简装 ,40.078436,http://bj.lianjia.com/xiaoqu/1111027379397/,0,116.343992,首开智慧社经典开间 西向采光好,19,185,36197
SOCO公社,2011,45,1, 西北 , 有电梯,中楼层, 精装 ,40.072913,http://bj.lianjia.com/xiaoqu/1111041847622/,0,116.368557,SOCO公社 不限购不限贷 紧邻霍营地铁口,18,148,32230
黄金花园,NA,84,2, 南 , 无电梯,低楼层, 简装 ,39.951524,http://bj.lianjia.com/xiaoqu/2011047921740/,1,116.837399,黄金花园 南向靠谱两居 三阳开泰 随时看房 中间楼层,34,183,21724
