totalFloor,bathroom,furnished,unitPrice,area,address,direction,livingroom,totalPrice,floor,age,elevator,title
13,2, 精装 ,69621,63,美立方, 南 北 ,1,440,中楼层,2011, 有电梯,南北通透loft 不限购 民用水电带燃气 高层有产权车位
12,2, 简装 ,70337,65,紫竹院98号院, 东 ,1,460,中楼层,1993, 有电梯,板楼高层带电梯正规大两居可改三居带自建
14,2, 精装 ,36323,123,天通西苑二区, 东 西 ,2,450,高楼层,2003, 有电梯,板楼 精装 东西通透大两居 拎包入住，层高2.9米
6,2, 精装 ,50527,95,云趣园三区, 南 北 ,2,480,低楼层,2000, 无电梯,云趣园三区 一层带花园两居室 商品房满五年
32,3, 精装 ,36458,112,天通西苑三区, 西南 ,1,410,高楼层,2002, 有电梯,正规3室2卫 户型方方正正 公摊面积小 楼下就是5号线
6,2, 简装 ,45935,87,风雅园三区, 南 北 ,1,400,高楼层,2000, 无电梯,风雅园三区 简单装修两居室 采光好
20,1, 简装 ,59668,70,新龙城, 南 ,1,420,中楼层,2007, 有电梯,南向阳光充足靠谱签约  已改成两居 有钥匙 看房方便
15,2, 简装 ,41876,109,鹿鸣苑, 东 南 ,1,460,低楼层,1999, 有电梯,满五年业主家庭单位就一套房 紧邻地铁 北京二中学区 
19,2, 简装 ,36230,135,天通苑东三区, 南 西 ,1,490,高楼层,2003, 有电梯,商品房满五年 电梯阳光房 次顶层 带地下车位
6,2, 精装 ,88409,50,文慧北园, 南 ,1,450,低楼层,1985, 无电梯,近积水潭地铁站 婚房装修 满五无个税 南向 随时签约
28,2, 精装 ,46410,98,长安新城一区, 西 ,1,455,高楼层,2004, 有电梯,长安新城 西向两居室 高楼层 采光好 无遮挡
6,3, 简装 ,46980,89,华龙苑南里, 西南 ,1,420,低楼层,1995, 无电梯,满五年业主就这一套房免税三居！业主诚心卖随时签约！
18,2, 精装 ,54160,89,尚东阁, 西南 ,2,485,中楼层,2009, 有电梯,尚东阁 2室2厅 485万
6,3, 简装 ,37451,120,佰嘉城, 南 北 ,1,450,中楼层,2008, 无电梯,回龙观 大三居 中间层 不临街 满五年业主就一套房
6,3, 精装 ,29539,138,馨港庄园三区, 南 ,2,410,中楼层,2004, 无电梯,中间楼层大三居  采光视野佳  三室两卫两厅 格局佳
18,2, 精装 ,36503,119,天通苑北二区, 南 ,1,435,中楼层,2005, 有电梯,北二区全南向两居室，精装修，可拎包入住。
6,2, 精装 ,49236,97,龙腾苑三区, 南 北 ,1,480,低楼层,2002, 无电梯,龙腾苑三区   精装两居  二层  商品房
13,2, 精装 ,69972,59,十里堡北里, 南 北 ,1,415,中楼层,1989, 无电梯,十里堡北里精装修南北两居室，此房为电梯房中间楼层。
24,2, 精装 ,72376,65,西坝河东里, 南 ,1,475,低楼层,1988, 有电梯,西坝河东里精装两居室，双卧朝南，带客厅
7,3, 简装 ,47910,83,管庄西里, 南 西 北 ,1,400,低楼层,1999, 无电梯,管庄西里 满五年  南北通透 低楼层
18,3, 简装 ,50796,81,平乐园小区, 东南 北 ,1,415,低楼层,1994, 有电梯,明厅格局 正规三居 视野开阔 临近小学 幼儿园
7,2, 精装 ,42907,104,云趣园一区, 南 北 ,1,450,中楼层,2000, 无电梯,云趣园一区 方正两居  商品房，看房随时 签约随时
6,2, 精装 ,52197,87,杨庄22号院, 南 北 ,1,455,低楼层,2004, 无电梯,北苑城铁 杨庄22号院 精装2居
7,2, 简装 ,48171,95,风雅园二区, 南 北 ,2,462,中楼层,2000, 无电梯,风雅园二区 商品房满五年 两居室 楼层好
5,2, 精装 ,84609,52,小关东里8号院, 南 北 ,1,448,低楼层,1987, 无电梯,小关东里8号院，一层带自建精装修
20,3, 精装 ,55341,87,嘉园二里, 东北 ,1,485,高楼层,1998, 有电梯,嘉园二里带电梯东北向三居，免税房，业主诚心出售
24,2, 简装 ,51612,87,重兴园, 南 ,1,450,中楼层,2003, 有电梯,重兴园，正南向，阳光房！看房方便！诚心出售
6,2, 简装 ,76989,59,定慧西里, 南 北 ,1,455,高楼层,1990, 无电梯,定慧寺南北通透客厅带阳台两居 满五年公房 大客厅
6,1, 毛坯 ,85272,51,育新花园, 南 ,1,440,低楼层,1996, 无电梯,海淀产权 南向 采光好 满5年
17,2, 精装 ,89624,52,华贸城, 东 ,1,469,中楼层,2012, 有电梯,北苑华贸城 正东向方正复式 中间观景楼层 靠谱出售
6,1, 简装 ,86262,47,安德路47号院, 南 ,1,410,高楼层,1994, 无电梯,东城落户朝南一居室   中高楼层 视野好 采光棒
6,2, 精装 ,42463,94,风雅园一区, 南 北 ,2,400,中楼层,2000, 无电梯,风雅园一区 环境优美 风景宜人
6,2, 精装 ,65307,73,北京青年城, 南 北 ,1,480,高楼层,2003, 无电梯,满五年家庭名下只有一套住房，可多贷款，南北通透
10,2, 精装 ,48330,93,北京人家, 东 南 西 ,2,450,高楼层,2005, 有电梯,北京人家三期，电梯房，东西南朝向
18,2, 简装 ,47652,88,鸿业兴园二期, 南 北 ,1,420,低楼层,2009, 无电梯,鸿业兴园南北两居 满五年无个税 丰台五小的学区房
6,2, 简装 ,43788,91,太平家园, 南 北 ,2,400,低楼层,2000, 无电梯,中间楼层 商品房两居室  南北通透 近地铁
6,2, 简装 ,79042,58,小关北里, 南 北 ,1,465,低楼层,1999, 无电梯,小关北里 楼层2层半 1999年建 有客厅 位置安静不临街
22,3, 精装 ,56167,81,柏林爱乐二期, 东北 ,1,460,高楼层,2004, 有电梯,柏林爱乐二期 3室1厅 460万
6,2, 精装 ,82900,53,红莲南里, 南 北 ,1,446,低楼层,1987, 无电梯,满五年  南北通透  去年新装修的
6,3, 简装 ,37994,105,四海公寓, 南 北 ,2,400,低楼层,1993, 无电梯,全明三居室 南北通透 楼层好 采光好
29,3, 毛坯 ,39824,113,天通苑北一区, 西南 ,1,450,中楼层,2004, 有电梯,天通苑北一区西南三居室，明厨高层视野好，看房随时
6,2, 简装 ,47539,94,云趣园一区, 南 北 ,1,450,高楼层,2000, 无电梯,小区楼王通透两居次顶层商满五唯一近医院临地铁学区房
6,2, 精装 ,51984,88,北京人家, 南 北 ,1,460,中楼层,2004, 无电梯,北京人家+南北双通透+商品房满五年
7,2, 精装 ,48658,93,云趣园二区, 南 北 ,2,455,中楼层,2000, 无电梯,南北两居 商品房 中间楼层 精装修
7,2, 精装 ,49884,86,云趣园二区, 南 北 ,1,429,中楼层,2000, 无电梯,精装修，业主诚心出售，看房基本随时
18,2, 简装 ,51087,92,翠成馨园, 南 ,2,470,高楼层,2007, 有电梯,满五年 中高楼层 南向两居室 诚意出售
32,2, 精装 ,45571,94,天通西苑三区, 东南 ,1,430,中楼层,2003, 有电梯,商品房满五年  精装拎包入住 适合贷款 
6,2, 精装 ,92007,52,大钟寺13号院, 南 北 ,1,480,低楼层,1992, 无电梯,皂君东里 大钟寺13号院 全明两居干湿分离 一层带小院
24,1, 精装 ,70338,58,世安家园, 东南 ,1,410,高楼层,2000, 有电梯,世安家园精装1居满五年唯一紧邻公园地铁
6,2, 精装 ,46792,89,朝阳新城二区, 东 西 ,1,420,中楼层,2005, 无电梯,东坝朝阳新城中间楼层东西通透靠谱签约
6,2, 精装 ,51084,79,北京人家, 南 北 ,1,408,高楼层,2004, 无电梯,北京人家带露台两居室，南北通透，免税
24,1, 精装 ,66900,65,利泽西园, 东南 ,1,440,高楼层,1999, 有电梯,利泽西园 东南一居  陈经纶派位 地铁 公园 超市
6,2, 简装 ,46000,93,龙兴园中区, 南 北 ,1,430,高楼层,2003, 无电梯,龙兴园中区两居室 南北通透 户型方正 满五年
15,2, 简装 ,44332,94,万科四季花城, 南 ,1,420,中楼层,2007, 有电梯,万科中高层复式两居 年轻一族的选择 交通便利出行方便
22,1, 精装 ,77642,64,风度柏林, 东北 ,1,499,中楼层,2006, 有电梯,风度柏林东北一居，满五年无个税，高层看花园
6,3, 精装 ,40590,120,风雅园二区, 南 北 ,2,490,中楼层,2000, 无电梯,风雅园二区 中间层三居室 商品房满五年  精装修
6,2, 精装 ,82527,55,安慧北里雅园, 南 北 ,1,460,低楼层,1991, 无电梯,满五年 南北通透 精装修 采光视野好，地铁双轨交汇
10,2, 精装 ,52524,92,新龙城, 东 西 ,1,488,中楼层,2007, 有电梯,电梯两居 诚心出售  明厨明卫 
11,2, 简装 ,53554,89,鸿坤理想城派郡18号院, 南 北 ,1,480,高楼层,2009, 有电梯,鸿坤理想城派郡南北通透 满五年就这一套房无个税
18,1, 精装 ,76963,58,华纺易城, 北 ,1,450,高楼层,2006, 无电梯,板楼社区 高层观景一居室 满五年  看房随时 精装修
9,2, 其他 ,54217,83,紫金新干线, 南 ,1,450,高楼层,2009, 有电梯,紫金新干线一区，电梯房中高楼层，满五年家庭一套住房
6,2, 简装 ,76897,58,雅宝里, 南 北 ,1,446,低楼层,1992, 无电梯,南北朝向 二楼 满五无个税 方正两居
7,2, 精装 ,50106,89,紫金新干线, 南 北 ,1,450,高楼层,2009, 有电梯,紫金新干线带电梯客厅朝南主卧朝南两居
6,2, 精装 ,42898,102,龙锦苑二区, 南 北 ,2,440,中楼层,2005, 无电梯,龙锦苑二区，小区中间位置，南北通透两居，中间楼层
14,2, 精装 ,73874,66,红联北村, 东 西 ,1,492,中楼层,1993, 有电梯,北邮附小名额 满五 中间楼层 正规两居室
24,1, 精装 ,68357,59,炫特嘉园二期, 东南 ,1,410,中楼层,2005, 无电梯,免税 东南向一居室  正对小区花园视野好
13,2, 简装 ,34131,122,天通西苑三区, 东 西 ,1,418,低楼层,2002, 有电梯,闹中取静 精装板楼 双卫两居 有两个固定车位 
6,4, 其他 ,22432,211,天通苑东一区, 南 北 ,2,475,高楼层,2001, 无电梯,东一区 南北双露台复试 四居室 满五免个税
6,3, 简装 ,34893,124,龙锦苑东四区, 南 北 ,2,435,高楼层,2009, 无电梯,带车位  南北通透大三居 不临街不把边 靠谱签约
6,2, 精装 ,40483,112,天通苑北三区, 南 北 ,2,456,低楼层,2004, 无电梯,北三区 南北通透2居 精装婚房 业主诚心出售
14,2, 简装 ,53544,89,彩虹新城, 南 北 ,1,479,低楼层,2007, 有电梯,彩虹新城，南北通透两居，免税，配套完善，交通便利
6,2, 简装 ,62297,67,东安街头条, 南 北 ,1,420,中楼层,2002, 无电梯,东安街头条   南北通透两居  满五年家庭首套住房
20,2, 简装 ,45712,88,富力阳光美园, 南 北 ,1,405,低楼层,2010, 有电梯,满五年，南北向两居室，户型方正 交通便利
6,2, 精装 ,71316,63,毛纺厂南小区, 南 北 ,1,450,高楼层,1987, 无电梯,毛南优质两居可改三居 精装修 有车位
6,3, 简装 ,39036,114,望都家园, 南 北 ,2,445,中楼层,2001, 无电梯,十佳物业小区 温馨三居 适合一家三代人居住 等您品鉴
6,3, 精装 ,53930,90,龙泽苑西区, 南 北 ,1,490,低楼层,2000, 无电梯,南北通透，业主随时签合同，一层带院子
6,3, 简装 ,39997,115,枣园小区, 南 北 ,2,462,中楼层,1994, 无电梯,三居室，南北通透，免增值税和个人所得税
15,2, 精装 ,39093,103,天通苑中苑, 西 ,1,405,低楼层,2008, 有电梯,中苑 双卫2居 房子满五年 业主诚心出售
6,2, 精装 ,53639,79,龙博苑二区, 南 北 ,1,429,低楼层,2004, 无电梯,商品房满五年，名下一套住房+中间位置自住精装+车位
6,2, 简装 ,53516,80,龙博苑三区, 南 北 ,1,430,高楼层,2005, 无电梯,商品房满五年，家庭名下仅此一套  带车位  采光充足
11,2, 精装 ,48288,102,流星花园三区, 东 南 北 ,1,495,高楼层,2006, 有电梯,流星花园三区  电梯两居  双明卫
32,3, 简装 ,33908,144,天通西苑三区, 东北 ,1,490,中楼层,2003, 有电梯,满五年 拎包入住 落地阳台 改善好房
13,2, 精装 ,36091,133,天通西苑二区, 南 北 ,2,480,中楼层,2003, 有电梯,中间楼层中间单元 精装南北通透
19,2, 精装 ,39026,107,天通西苑二区, 南 北 ,1,418,高楼层,2003, 有电梯,天通西苑二区 2室1厅 418万
6,1, 精装 ,96386,41,二里庄小区, 南 ,1,400,低楼层,1993, 无电梯,二里庄小区 1室1厅 400万
7,2, 精装 ,36929,119,天通苑东二区, 南 北 ,2,440,中楼层,2001, 无电梯,精装 ，南北大两居，看房随时！
6,2, 精装 ,51706,90,华龙苑北里, 南 北 ,2,470,中楼层,2005, 有电梯,电梯房  商品房 满五唯一 南北通透  正规两居室
6,3, 简装 ,31637,142,天通苑东三区, 南 北 ,2,450,低楼层,2003, 无电梯,未来地铁17号线 东三区法式园 双卧朝南三居 满五年
29,3, 简装 ,45557,88,保利嘉园三号院, 南 北 ,1,405,高楼层,2013, 有电梯,西南北小三居 中高楼层 全明格局 地铁房 学区房 
22,2, 简装 ,55276,83,方华苑, 东南 ,1,460,中楼层,2000, 有电梯,满五年公房 优质两居 随时签约
21,1, 简装 ,68766,65,力度家园, 东 ,1,450,低楼层,2005, 有电梯,上地清河力度家园有电梯正规一居室靠谱签约
18,2, 简装 ,59784,80,安宁里南区, 西 ,1,480,高楼层,1999, 有电梯,海淀实验二小学区，正规两居，靠谱出售
28,2, 简装 ,53858,85,通惠家园, 东南 ,1,460,中楼层,2001, 有电梯,通惠家园 东南向两居室 两个卧室朝南 ！
6,2, 精装 ,54061,86,阿尔法社区二期, 南 北 ,2,468,低楼层,2009, 无电梯,免税房源 精装二居室 换金楼层 小区中间位置
28,2, 简装 ,53741,85,通惠家园, 东南 ,1,459,中楼层,2001, 有电梯,通惠家园惠民园南向两居室  没有个税 交通便利 。
6,2, 简装 ,80901,56,中塔园, 东 西 ,1,460,低楼层,1992, 无电梯,邻近玉渊潭公园，翠微小学学区房，楼层好
6,1, 简装 ,107302,38,厂洼小区, 南 ,1,410,低楼层,1988, 无电梯,厂洼小区 一层带院的一居室交通方便
26,1, 精装 ,62425,65,北苑家园茉藜园, 西南 ,1,411,中楼层,2004, 有电梯,首套契税1%，精装修，随时签约，中间楼层
12,2, 简装 ,66897,60,道家园, 南 北 ,1,408,中楼层,1999, 有电梯,南北通透大客厅两居 采光非常的好 独门独院小区管理好
28,2, 简装 ,45187,101,京贸国际公寓, 西南 ,2,460,中楼层,2004, 有电梯,户型方正 24小时温泉水景观房
6,3, 精装 ,48838,86,弘燕路小区, 南 北 ,1,420,高楼层,1999, 无电梯,西大望路旁，交通便利，精装大两居，看房提前预约
5,2, 精装 ,40266,113,天通苑北二区, 南 北 ,2,455,中楼层,2005, 无电梯,天通苑北二区 厅南两居室 精装修
8,1, 精装 ,77934,57,保利西山林语, 东 西 北 ,1,445,高楼层,2010, 有电梯,保利二期东西北三面采光精装大一居  客厅主卧带挑高
22,3, 简装 ,44496,109,杨庄北区, 东北 ,1,485,高楼层,2003, 有电梯,满五 楼龄新 交通便利 明厨明卫 配套齐
6,3, 简装 ,47074,93,海特花园小区, 南 北 ,1,440,中楼层,1994, 无电梯,海特花园南北向三居室，中间楼层
6,3, 简装 ,72539,57,团结湖中路南一条, 南 北 ,1,420,低楼层,1980, 无电梯,南北通透，低楼层，三居室，看房方便，业主诚意出售
14,2, 精装 ,52326,86,西引力, 东 ,2,450,高楼层,2005, 有电梯,西引力 精装修两居室 满五年免税 带地下车位
14,2, 毛坯 ,37557,119,天通苑北二区, 南 ,2,450,低楼层,2005, 有电梯,北二区 全南电梯两居 看房有钥匙
24,2, 简装 ,61539,65,春园, 西南 ,1,400,低楼层,2000, 有电梯,房子满五年，免增值税，双卧室朝南
6,3, 简装 ,57693,72,劲松二区, 南 北 ,1,420,高楼层,1978, 无电梯,满五年，业主名下只有这一套住房，全明格局好，采光好
6,3, 简装 ,39691,102,天通苑本四区, 南 北 ,1,405,高楼层,2000, 无电梯,本四区 6+7复试带北露台 三居室 满五免个税
6,3, 精装 ,38421,111,至善家园, 东 西 ,1,430,中楼层,2002, 无电梯,至善家园+精装+户型方正+楼前无遮挡
6,2, 精装 ,49511,87,天通苑本二区, 南 北 ,1,435,低楼层,2000, 无电梯,商品房满五年 家庭名下仅一套住房 南北两居 赠送花园
6,3, 精装 ,33576,147,天通苑中苑, 东 南 北 ,1,494,高楼层,2007, 无电梯,中苑商满五 大三居 三个卧室均朝南 正南正北
6,3, 毛坯 ,69785,69,毛纺厂南小区, 南 北 ,1,485,高楼层,1985, 无电梯,随时签约  毛南 南北通透 三居室
6,2, 精装 ,48805,91,华龙苑北里, 南 北 ,1,445,高楼层,2005, 有电梯,电梯房 南北向两居室 看房有钥匙
30,1, 简装 ,78524,50,10AM新坐标, 南 ,1,400,低楼层,2006, 有电梯,10AM新坐标 朝南一居室 70年商品房
6,4, 精装 ,22626,179,王府温馨公寓, 南 北 ,2,405,高楼层,1999, 无电梯,南北通透 大四局平层 满五年 采光充足
6,2, 精装 ,44700,93,梨花园, 东 西 ,1,420,高楼层,1999, 无电梯,梨园城铁旁 精装明厨明卫两居 通透户型
6,2, 简装 ,49206,84,复兴西里31号院, 南 北 ,1,415,中楼层,1998, 无电梯,成本价 楼层适中 南北通透 地铁万达 诚心出售
6,3, 简装 ,41518,103,荟康苑, 南 北 ,2,430,高楼层,1996, 无电梯,满五年 免税 南北通透复式 带露台
6,3, 精装 ,63203,71,太平桥小区, 南 北 ,1,450,高楼层,1990, 无电梯,太平桥小区 南北通透三居室 业主诚心出售 地铁9号线
6,2, 简装 ,45308,92,朝阳新城二区, 东 西 ,2,420,中楼层,2005, 无电梯,满五年两居室，东西通透，中间楼层
6,2, 精装 ,44737,105,果园西小区, 南 北 ,2,470,中楼层,2002, 无电梯,果园地铁 南北通透精装两居 业主随时签约
10,2, 精装 ,49741,92,北京人家, 南 北 ,1,460,中楼层,2005, 有电梯,北京人家+电梯房+集中供暖地暖+南北通透+视野好
27,1, 简装 ,71351,64,后现代城, 东 ,0,458,低楼层,2007, 有电梯,后现代城 东向开间 业主北京首套住房
13,3, 精装 ,26967,148,天通西苑三区, 东 西 ,2,400,中楼层,2003, 有电梯,西三区临近5号线附近好房子出售
6,2, 精装 ,43273,97,天通苑北三区, 东 西 ,2,420,中楼层,2004, 无电梯,北三区 商品房 精装修 看房有钥匙 首付170万
6,3, 其他 ,33454,139,昌盛园三区, 南 北 ,2,465,高楼层,2005, 无电梯,昌盛园三区（世涛天朗)精装修 满五且名下只有一套住房
6,3, 简装 ,32311,123,宇丰苑, 南 北 ,2,400,高楼层,2003, 无电梯,宇丰苑 满五年家庭名下一套住房 南北通透 正规三居室 
18,2, 简装 ,50000,92,翠成馨园, 南 ,1,460,高楼层,2007, 无电梯,此房为翠成馨园南向两居室，高楼层，采光无遮挡
11,1, 精装 ,70690,58,运河湾, 南 ,1,410,低楼层,2009, 有电梯,新城商业区 经典诚心急售 紧邻地铁 投资居住都不错 
6,2, 精装 ,71011,56,顺源里, 南 北 ,1,400,高楼层,1982, 无电梯,顺源里，满五年，精装修，南北通透两居室，诚意出售
11,2, 精装 ,56411,87,蓝调沙龙东区, 南 ,1,495,中楼层,2005, 有电梯,九棵树城铁南 蓝调沙龙 正南向 二居 明厨明卫
5,2, 简装 ,45331,99,怡兴园, 南 北 ,2,450,中楼层,2003, 无电梯,怡兴园    满五年     南北通透 
28,3, 简装 ,45505,90,旗胜家园, 西南 北 ,1,410,中楼层,2009, 有电梯,旗胜新上3居室，紧邻地铁8号线13号线
32,2, 精装 ,46490,93,天通西苑二区, 东南 ,1,435,中楼层,2003, 有电梯,精装电梯两居室 诚心出售 看房随时
14,2, 简装 ,59835,72,华威北里, 东 西 ,1,435,中楼层,1997, 有电梯,华威北里，满五年，高板楼有电梯，大客厅
20,2, 精装 ,58092,72,光彩家园, 南 西 ,1,420,高楼层,2000, 有电梯,光彩家园 精装2居 看房随时 签约随时
20,1, 精装 ,61368,70,新龙城, 南 ,1,430,高楼层,2007, 有电梯,新龙城 正规南向一居室  高楼层视野好
7,3, 其他 ,49156,87,龙博苑二区, 南 北 ,1,428,低楼层,2004, 无电梯,婚房装修+两层+正规三居+南北通透
32,1, 其他 ,66127,74,天居园, 南 ,1,490,低楼层,2008, 有电梯,全南朝向 采光充足 户型方正无浪费面积 无个税
18,2, 精装 ,52084,86,阳光北里, 西南 北 ,1,450,中楼层,1998, 有电梯,精装修两居室  看房方便 拎包入住 业主诚意出售
7,2, 简装 ,63033,77,沁春家园, 南 北 ,1,488,低楼层,2000, 无电梯,沁春家园 南北通透 海淀产权 育鹰学区 生活交通便捷
12,2, 精装 ,54557,80,上东上层, 南 北 ,1,440,中楼层,2008, 有电梯,上东上层 南北向 商品房 业主诚售
17,2, 简装 ,76078,59,安贞里, 西北 ,1,450,低楼层,1986, 有电梯,安贞里  西北向两居室双阳台  地铁房  临近元大都公园
6,3, 简装 ,49886,87,南小园, 南 西 北 ,1,434,中楼层,1989, 无电梯,南北通透三居室  房本满五年业主名下就一套住房
13,2, 精装 ,44478,107,时代龙和, 南 北 ,2,480,低楼层,2007, 有电梯,时代龙和 精装两居室 低楼层 南北向 
6,3, 简装 ,47117,97,双柳新居, 东 南 北 ,1,460,中楼层,2000, 无电梯, 南北通透三居 中间层 2000年商品房社区
18,2, 精装 ,50792,91,定福家园2号院, 西南 ,1,465,高楼层,2006, 有电梯,6号线褡裢坡定福庄南向两居 格局方正 采光好
6,3, 简装 ,32087,127,天露园一区, 南 北 ,2,410,高楼层,2008, 无电梯,08年小区，中间位置，税费少，随时能签
32,3, 精装 ,33712,145,天通西苑三区, 东北 ,1,490,高楼层,2003, 有电梯,商品房满五年家庭一套住房，适合高贷精装修拎包入住！
6,2, 精装 ,83473,53,小关东里10号院, 南 北 ,1,450,高楼层,1987, 无电梯,南北通透  全明格局  精装修  
6,2, 精装 ,41280,96,天通苑北三区, 南 北 ,2,400,中楼层,2004, 无电梯,天通苑北三区 2室2厅 400万
24,2, 简装 ,61871,78,梵谷水郡, 西南 ,1,485,高楼层,2005, 有电梯,梵谷水郡，高层观景两居，首套只有1%契税
6,2, 精装 ,69184,66,永泰园, 东北 ,1,460,中楼层,2002, 无电梯,永泰园满五年免个税商品房，中间楼层，诚意出售
6,2, 精装 ,53940,77,旗舰凯旋二三期, 南 北 ,1,419,高楼层,2003, 无电梯,旗舰凯旋二三期  南北两居室  楼层高
6,2, 精装 ,49725,94,北京人家, 南 北 ,2,470,低楼层,2005, 无电梯,此房商品房满五年，在北京就这一套住宅，南北通透格局
7,2, 精装 ,51365,90,新潮嘉园一期, 南 北 ,1,465,中楼层,2002, 无电梯,新潮嘉园   满五年   南北通透两居室
6,2, 简装 ,81579,57,车道沟南里, 东 西 ,1,465,中楼层,1984, 无电梯,车道沟南里 东西通透两居 税费少 业主诚心出售
6,2, 简装 ,49469,94,北京人家, 南 北 ,1,465,中楼层,2005, 无电梯,商品房社区 板楼南北通透精装两居室 
7,3, 毛坯 ,38373,129,望都家园, 南 北 ,2,495,中楼层,2000, 无电梯,北七家 望都家园 三居室 十佳物业
6,3, 精装 ,39337,105,石园东苑, 南 北 ,1,415,中楼层,2003, 无电梯,石园东苑，正规三居，四层，南北通透，业主诚心出售。
7,2, 简装 ,55134,81,紫南家园, 南 北 ,1,450,中楼层,2002, 无电梯,紫南家园南区 南北通透两居室 通透好
6,2, 精装 ,46774,104,朝阳新城二区, 南 北 ,2,490,低楼层,2004, 无电梯,南北通透大两居 低楼层 没有个人所得税 
29,2, 简装 ,53830,89,红狮家园, 西 ,1,480,高楼层,2010, 有电梯,宋家庄地铁 西向两居 满五年户型好
7,3, 精装 ,38770,126,天通苑北三区, 南 北 ,2,489,中楼层,2005, 无电梯,中心位置南北通透6层板楼的黄金4层格局方正
28,2, 精装 ,51771,86,晨光家园, 西南 ,1,446,高楼层,1999, 无电梯,晨光状元户型 方正大客厅  落地阳台  远眺西山观景房
6,3, 简装 ,34907,124,龙锦苑东五区, 南 北 ,2,435,中楼层,2007, 无电梯,业主诚心出售、随时可签约、看房方便
4,3, 简装 ,42036,106,三合庄园, 南 北 ,2,446,高楼层,2000, 无电梯,三合庄园 满五年 中间楼层 带阁楼 经典小三居
6,3, 精装 ,59834,71,农光南路, 南 北 ,1,425,高楼层,1993, 无电梯,农光南路南北通透三居室 精装修 明厅明厨 临近北工大
10,2, 精装 ,51205,83,紫金新干线, 南 ,1,425,中楼层,2007, 有电梯,紫金新干线 全南两居室 满五年唯一 诚心出售
6,2, 精装 ,64865,74,翠海明苑, 南 北 ,2,480,高楼层,2005, 无电梯,南四环新宫 翠海明苑小区 南北通透 临近地铁 
6,2, 简装 ,48043,97,乔庄北街279号院, 南 北 ,2,470,低楼层,1996, 无电梯,乔庄北街279号院，业主诚心出售，看房方便
6,3, 简装 ,41639,103,云趣园一区, 南 北 ,2,430,高楼层,2000, 无电梯,双卧朝南三居 中间位置 满五免税  随时看房
6,2, 精装 ,70134,58,花家地南里, 东南 西北 ,1,410,低楼层,1991, 无电梯,花家地南里 板楼2层两居 税费低 看房方便 
20,2, 精装 ,52604,93,新龙城, 东 西 ,1,490,中楼层,2007, 有电梯,满五年在北京家庭名下就这一套房子 无抵押 有车位 
32,2, 精装 ,43700,96,天通西苑二区, 东 ,1,420,中楼层,2003, 有电梯,全东向两居室 商品房满五年 精装修
